iter	RMSE
0	941.5984915
1	884.0804249
2	832.3318233
3	783.9635194
4	737.9129696
5	693.8430075
6	653.9931252
7	615.0340836
8	579.1926581
9	545.9182777
10	513.5721821
11	483.4777981
12	456.5282028
13	429.7186493
14	405.0122896
15	381.8135391
16	360.5428586
17	340.2469417
18	320.9471683
19	302.3575038
20	285.3750575
21	269.0893792
22	254.460387
23	240.1645431
24	227.7972351
25	214.9339796
26	203.2936999
27	192.3226483
28	181.5786311
29	171.6931419
30	162.3831877
31	153.6682419
32	145.7540266
33	138.124324
34	130.8365792
35	123.983358
36	117.8088082
37	111.8210843
38	106.2900175
39	100.8723856
40	95.83566971
41	91.13953106
42	86.73096029
43	82.49993081
44	78.47576918
45	74.85794468
46	71.34638059
47	68.02724392
48	65.03064003
49	62.16850245
50	59.32046621
51	56.70957594
52	54.2843738
53	52.05868298
54	49.94039065
55	47.98931072
56	46.12023985
57	44.3357765
58	42.67594206
59	41.19620563
60	39.78831076
61	38.51284512
62	37.27332957
63	36.19921553
64	35.14520647
65	34.22871736
66	33.35174016
67	32.55125715
68	31.78958711
69	31.10118062
70	30.53715256
71	29.97409494
72	29.42730507
73	28.89836177
74	28.43231684
75	28.02780363
76	27.6186732
77	27.275167
78	26.93310042
79	26.63478315
80	26.33925424
81	26.075684
82	25.86112954
83	25.608384
84	25.40975402
85	25.19498554
86	25.01614811
87	24.82966991
88	24.70021374
89	24.54267963
90	24.39370026
91	24.24306704
92	24.11635814
93	23.99850248
94	23.87901995
95	23.72213667
96	23.62305027
97	23.4958729
98	23.39910624
99	23.30358329
100	23.20353553
101	23.12045111
102	23.04765351
103	22.96837778
104	22.89483088
105	22.73550437
106	22.60916081
107	22.56522558
108	22.47100005
109	22.39369432
110	22.32354622
111	22.26300371
112	22.205047
113	22.11368628
114	22.06648592
115	21.99314359
116	21.91964068
117	21.85868031
118	21.77377588
119	21.73344603
120	21.63822053
121	21.59704826
122	21.51664009
123	21.46740927
124	21.42291839
125	21.34212872
126	21.290971
127	21.23032669
128	21.15027783
129	21.1133385
130	21.07184361
131	21.03851538
132	21.00214106
133	20.92876332
134	20.88535425
135	20.83226517
136	20.78785727
137	20.72719426
138	20.70046024
139	20.62683747
140	20.57601006
141	20.55390413
142	20.48639797
143	20.44624301
144	20.37044501
145	20.31489682
146	20.27485981
147	20.25083909
148	20.18983526
149	20.16534082
150	20.12097749
151	20.09705164
152	20.0723165
153	20.03612927
154	19.94091862
155	19.90418195
156	19.86992107
157	19.8088042
158	19.78817898
159	19.74880108
160	19.69654685
161	19.67393689
162	19.61070738
163	19.5627379
164	19.52734474
165	19.47418772
166	19.40844162
167	19.39003661
168	19.34802374
169	19.30230239
170	19.28547371
171	19.2699512
172	19.23971792
173	19.18772517
174	19.13802884
175	19.10901931
176	19.0868892
177	19.03227719
178	18.98965084
179	18.93168506
180	18.91306291
181	18.89767196
182	18.86015348
183	18.81371247
184	18.79780199
185	18.75957673
186	18.72819247
187	18.68484897
188	18.60928171
189	18.56804109
190	18.53102417
191	18.50450734
192	18.47286633
193	18.44004546
194	18.4173193
195	18.38532962
196	18.34820347
197	18.30802689
198	18.27758636
199	18.2564332
200	18.20765896
201	18.16032874
202	18.14261217
203	18.12554727
204	18.09368086
205	18.05358529
206	18.0377558
207	17.97030251
208	17.93368432
209	17.906587
210	17.87496768
211	17.84670953
212	17.83280767
213	17.8023279
214	17.74790703
215	17.7221981
216	17.68303679
217	17.65416765
218	17.61020851
219	17.56835495
220	17.53536835
221	17.51147441
222	17.48644498
223	17.44999656
224	17.40827171
225	17.37382932
226	17.33600669
227	17.32287492
228	17.30953375
229	17.28512448
230	17.27281486
231	17.24291995
232	17.2225821
233	17.19426611
234	17.16480164
235	17.13290516
236	17.12179647
237	17.0942627
238	17.08099958
239	17.05360843
240	17.01935252
241	16.98947492
242	16.9691171
243	16.94643089
244	16.91589875
245	16.89060427
246	16.8747308
247	16.83361332
248	16.82039988
249	16.80880912
250	16.78447612
251	16.76379499
252	16.73767022
253	16.71890621
254	16.67772874
255	16.64236663
256	16.62022734
257	16.59547369
258	16.55380988
259	16.53967583
260	16.52116974
261	16.50513984
262	16.49194397
263	16.46956758
264	16.44868544
265	16.41353543
266	16.3790091
267	16.36882209
268	16.34620326
269	16.32607007
270	16.30664181
271	16.29191774
272	16.27188058
273	16.2664131
274	16.25111911
275	16.23073314
276	16.22313576
277	16.19368018
278	16.18421786
279	16.16545073
280	16.14768238
281	16.13086521
282	16.08694155
283	16.06118273
284	16.05396583
285	16.01792037
286	15.9974134
287	15.98480019
288	15.96450534
289	15.95759252
290	15.93683294
291	15.91551478
292	15.89601269
293	15.88117731
294	15.8593375
295	15.84061579
296	15.81810943
297	15.81013777
298	15.79117105
299	15.76587519
300	15.73185453
301	15.71886803
302	15.70188408
303	15.69545889
304	15.68726089
305	15.67008264
306	15.63426606
307	15.60600987
308	15.59842691
309	15.58247983
310	15.55266036
311	15.53315207
312	15.49968816
313	15.46427487
314	15.45628925
315	15.43605206
316	15.39789884
317	15.37231067
318	15.36183617
319	15.34981462
320	15.30008824
321	15.25918801
322	15.2504324
323	15.22667839
324	15.22103679
325	15.21452025
326	15.20102157
327	15.18421606
328	15.16630289
329	15.15549395
330	15.14071562
331	15.12569996
332	15.11165948
333	15.10500277
334	15.07325911
335	15.05101773
336	15.02660884
337	15.00974734
338	14.98630497
339	14.98120576
340	14.95988149
341	14.95248725
342	14.94548446
343	14.93581088
344	14.91961034
345	14.90232904
346	14.89434805
347	14.87242323
348	14.85915352
349	14.85149187
350	14.83646493
351	14.8200452
352	14.79150928
353	14.76546485
354	14.75673932
355	14.75077089
356	14.70975722
357	14.70143476
358	14.68593432
359	14.66580838
360	14.6542095
361	14.64889944
362	14.64240805
363	14.59869965
364	14.58107883
365	14.56791341
366	14.56124213
367	14.53922826
368	14.50139372
369	14.48171364
370	14.46049825
371	14.44249748
372	14.40466521
373	14.39040693
374	14.37867577
375	14.36604882
376	14.35448992
377	14.34581721
378	14.31310877
379	14.30764793
380	14.28897526
381	14.27914095
382	14.26649157
383	14.24106699
384	14.22444109
385	14.2157582
386	14.18392447
387	14.17283028
388	14.16492293
389	14.14819968
390	14.13465217
391	14.09830517
392	14.09137655
393	14.07798622
394	14.06478187
395	14.03962777
396	14.03064719
397	14.02572945
398	14.01162433
399	13.98415021
400	13.97212629
401	13.95734602
402	13.93668487
403	13.9212332
404	13.9101366
405	13.90113227
406	13.88158371
407	13.87119322
408	13.8601134
409	13.84489064
410	13.82892997
411	13.81956938
412	13.8082332
413	13.78609406
414	13.77327708
415	13.75863661
416	13.7512977
417	13.74406743
418	13.72774227
419	13.71735769
420	13.70905951
421	13.69797147
422	13.6689483
423	13.65845424
424	13.63063816
425	13.62451843
426	13.61213855
427	13.59547571
428	13.58706065
429	13.55866962
430	13.54322657
431	13.52553912
432	13.5001849
433	13.47428186
434	13.46578085
435	13.43354259
436	13.41860638
437	13.40062099
438	13.39400594
439	13.38632585
440	13.37740196
441	13.37019083
442	13.35019779
443	13.33868851
444	13.31197268
445	13.29828897
446	13.28548344
447	13.28112278
448	13.27157758
449	13.25872789
450	13.25123747
451	13.24616511
452	13.24140585
453	13.22794395
454	13.2021423
455	13.18775777
456	13.18156641
457	13.16764328
458	13.14286554
459	13.13380364
460	13.11054096
461	13.08164747
462	13.06991139
463	13.05497189
464	13.04017324
465	13.01642373
466	12.99312266
467	12.98293758
468	12.97598253
469	12.95787387
470	12.95340668
471	12.94444035
472	12.93923812
473	12.93407655
474	12.91636111
475	12.9070407
476	12.89433617
477	12.88797897
478	12.86745831
479	12.86052678
480	12.84743044
481	12.8274342
482	12.80633045
483	12.79003996
484	12.76580762
485	12.75314349
486	12.72358159
487	12.71082852
488	12.69922043
489	12.6776214
490	12.66661055
491	12.65674963
492	12.65125873
493	12.63203133
494	12.61921528
495	12.6064448
496	12.59464791
497	12.58462209
498	12.57580841
499	12.56460221
500	12.54285129
501	12.53138419
502	12.51391729
503	12.50366562
504	12.47918251
505	12.47082734
506	12.44912859
507	12.42538158
508	12.42083816
509	12.39927827
510	12.38626539
511	12.3746299
512	12.36063793
513	12.34786134
514	12.34118684
515	12.32744512
516	12.31755907
517	12.3053786
518	12.29585802
519	12.28366183
520	12.27450739
521	12.26949432
522	12.25561417
523	12.24340715
524	12.23290092
525	12.21231823
526	12.20494896
527	12.19127137
528	12.18580538
529	12.17547499
530	12.16295909
531	12.15798606
532	12.14093973
533	12.12879345
534	12.12137791
535	12.10615993
536	12.09802846
537	12.08653224
538	12.06700353
539	12.06216414
540	12.04672517
541	12.03614439
542	12.02678977
543	12.01088192
544	12.00195401
545	11.9789981
546	11.9742829
547	11.96444225
548	11.95865466
549	11.94845787
550	11.9403412
551	11.93328755
552	11.91924184
553	11.91214582
554	11.90550784
555	11.88834768
556	11.87941317
557	11.86564551
558	11.85495025
559	11.84501374
560	11.83714761
561	11.82764366
562	11.81630875
563	11.81131759
564	11.80589792
565	11.79858061
566	11.78723664
567	11.76795598
568	11.7526138
569	11.74744344
570	11.73586504
571	11.71976958
572	11.71536124
573	11.69935702
574	11.68291443
575	11.67429267
576	11.66700112
577	11.6550031
578	11.64083563
579	11.63309963
580	11.61580607
581	11.60225373
582	11.59588913
583	11.59046276
584	11.57556584
585	11.56951249
586	11.5625167
587	11.55358718
588	11.54762045
589	11.53810225
590	11.53135611
591	11.51895659
592	11.51002607
593	11.50531914
594	11.49776623
595	11.4896553
596	11.4716595
597	11.45361134
598	11.43758265
599	11.43082401
600	11.41447916
601	11.40905077
602	11.39564416
603	11.38880922
604	11.380509
605	11.37206263
606	11.3643049
607	11.35680232
608	11.35152852
609	11.3435819
610	11.33625162
611	11.32818531
612	11.32004283
613	11.31109969
614	11.3062046
615	11.30050859
616	11.29364714
617	11.28286543
618	11.27522431
619	11.26585426
620	11.25996571
621	11.25215343
622	11.24336202
623	11.23989374
624	11.23346132
625	11.22364623
626	11.21358231
627	11.20373059
628	11.19227129
629	11.18393723
630	11.17776076
631	11.16902732
632	11.16467482
633	11.15563876
634	11.14773162
635	11.13709094
636	11.12994439
637	11.1155834
638	11.10457868
639	11.09335417
640	11.08537437
641	11.07904031
642	11.06866841
643	11.05403725
644	11.04114542
645	11.035498
646	11.02019664
647	11.01559829
648	11.00924451
649	11.00031479
650	10.99337825
651	10.98181814
652	10.97285554
653	10.95979432
654	10.95436096
655	10.94272661
656	10.93577234
657	10.93139731
658	10.92152602
659	10.91004414
660	10.90256007
661	10.8906696
662	10.88338011
663	10.88001836
664	10.87332729
665	10.86947151
666	10.85998788
667	10.85116066
668	10.84582269
669	10.84207412
670	10.83254076
671	10.82900001
672	10.82628715
673	10.81908563
674	10.81647613
675	10.81157067
676	10.80819058
677	10.80506488
678	10.79872814
679	10.79555215
680	10.78796676
681	10.77550686
682	10.76269167
683	10.75972988
684	10.74842991
685	10.7416838
686	10.73330318
687	10.72471773
688	10.71910859
689	10.71213309
690	10.70188778
691	10.69766447
692	10.68890908
693	10.67713521
694	10.67112954
695	10.66589918
696	10.65385879
697	10.64318875
698	10.63271609
699	10.62582419
700	10.61913723
701	10.61090676
702	10.6055786
703	10.59763354
704	10.59278232
705	10.5882864
706	10.57707357
707	10.57180801
708	10.56465725
709	10.55791721
710	10.54649977
711	10.5341514
712	10.52448382
713	10.51238489
714	10.49865475
715	10.49203953
716	10.4812571
717	10.46877853
718	10.46312151
719	10.45539691
720	10.44937351
721	10.44168708
722	10.43554112
723	10.42477368
724	10.41562492
725	10.41023256
726	10.40515823
727	10.40043578
728	10.39335844
729	10.38438363
730	10.3772243
731	10.37104073
732	10.36192565
733	10.35442616
734	10.34979563
735	10.3390173
736	10.33011324
737	10.32458516
738	10.31778436
739	10.31123491
740	10.30726713
741	10.30246147
742	10.29682745
743	10.28580514
744	10.28064661
745	10.27564498
746	10.26724691
747	10.25980481
748	10.25377255
749	10.24691497
750	10.23677533
751	10.2237816
752	10.21755008
753	10.2109622
754	10.20593842
755	10.19201785
756	10.18012828
757	10.16785849
758	10.16291481
759	10.15613469
760	10.149601
761	10.14355046
762	10.13323647
763	10.12398809
764	10.11836298
765	10.1109214
766	10.10245167
767	10.09733143
768	10.0892397
769	10.08529926
770	10.07500505
771	10.06650613
772	10.06090954
773	10.05435595
774	10.04475122
775	10.03919736
776	10.03210131
777	10.01935669
778	10.01267166
779	10.00738262
780	10.00181591
781	9.991504966
782	9.98524302
783	9.978884585
784	9.974361926
785	9.969266031
786	9.960593111
787	9.953417169
788	9.947618672
789	9.943591568
790	9.936529034
791	9.925785103
792	9.919560009
793	9.912655306
794	9.907619206
795	9.900771125
796	9.896562148
797	9.893023825
798	9.883264421
799	9.878526823
800	9.87414884
801	9.868801533
802	9.864259327
803	9.857034985
804	9.848054167
805	9.836466969
806	9.832693711
807	9.827523554
808	9.821316831
809	9.816273448
810	9.805140008
811	9.795196647
812	9.790207459
813	9.781506698
814	9.774026734
815	9.769423788
816	9.763025068
817	9.756596783
818	9.751709418
819	9.747943662
820	9.739378315
821	9.735381475
822	9.730153924
823	9.720747993
824	9.715749993
825	9.709696616
826	9.705506832
827	9.699123972
828	9.694159224
829	9.686361184
830	9.679490102
831	9.671967018
832	9.668771478
833	9.66267591
834	9.656633218
835	9.652168763
836	9.646977772
837	9.638726394
838	9.633374608
839	9.626723122
840	9.617963254
841	9.613387939
842	9.609535024
843	9.603503023
844	9.600468462
845	9.596391296
846	9.591075493
847	9.582723428
848	9.578525381
849	9.572043776
850	9.566796151
851	9.558832539
852	9.554665768
853	9.549553632
854	9.542423958
855	9.537149843
856	9.530151415
857	9.523173968
858	9.518537523
859	9.508660117
860	9.503396587
861	9.496561765
862	9.488386637
863	9.484575889
864	9.477018835
865	9.47100275
866	9.46501889
867	9.458532187
868	9.453830674
869	9.447904768
870	9.442298901
871	9.43703106
872	9.428867327
873	9.426051702
874	9.41745174
875	9.407066659
876	9.395923927
877	9.389270475
878	9.385330837
879	9.378824536
880	9.374985789
881	9.370100242
882	9.365916248
883	9.360818396
884	9.356593411
885	9.350278162
886	9.346122689
887	9.340106832
888	9.335801645
889	9.331911527
890	9.327845108
891	9.320033483
892	9.311981604
893	9.305834815
894	9.295009678
895	9.286698831
896	9.282066404
897	9.278392046
898	9.271303126
899	9.267281149
900	9.259910921
901	9.253791948
902	9.243713129
903	9.234019894
904	9.230067509
905	9.225694527
906	9.220282012
907	9.211171396
908	9.205601357
909	9.196744811
910	9.192185621
911	9.1846638
912	9.176105803
913	9.170894795
914	9.165539674
915	9.160971578
916	9.155902779
917	9.150827461
918	9.143030029
919	9.138446202
920	9.131693929
921	9.127157968
922	9.12218662
923	9.116798212
924	9.10982133
925	9.10180488
926	9.097261717
927	9.094040881
928	9.087369633
929	9.081768627
930	9.077544034
931	9.073125603
932	9.06795835
933	9.063903002
934	9.057811349
935	9.053458505
936	9.047877187
937	9.044161303
938	9.039659239
939	9.034905078
940	9.031675623
941	9.027665402
942	9.021113145
943	9.013653147
944	9.008593791
945	9.004192337
946	8.999992169
947	8.995753464
948	8.992684462
949	8.988469683
950	8.98317419
951	8.980308981
952	8.974703475
953	8.970256316
954	8.964653572
955	8.961212732
956	8.957352723
957	8.954766833
958	8.947856268
959	8.944771626
960	8.93828061
961	8.932991134
962	8.928788589
963	8.924695708
964	8.921197635
965	8.914692348
966	8.911832124
967	8.905493448
968	8.899107622
969	8.896243179
970	8.891461856
971	8.887313947
972	8.883138114
973	8.878346988
974	8.875273386
975	8.87084031
976	8.867561557
977	8.864623944
978	8.85970094
979	8.854139355
980	8.846822248
981	8.84236082
982	8.838558912
983	8.832493069
984	8.826181942
985	8.819463886
986	8.815586138
987	8.813146432
988	8.809654992
989	8.803366459
990	8.798516763
991	8.795057719
992	8.792878442
993	8.7896907
994	8.784036575
995	8.778898793
996	8.773862885
997	8.769750249
998	8.767141524
999	8.762548564
